Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
,,1.34,0.33,1.36,0.2,1.34,0.25,,,,,,,,,1.34,0.12,,
,,1.36,0.32,1.38,0.14,1.36,0.19,,,,,,,,,1.36,0.1,,
,,1.38,0.29,1.4,0.13,1.38,0.14,,,,,,,,,,,,
,,1.4,0.27,1.42,0.0,1.4,0.13,,,,,,,,,,,,
,,1.42,0.25,,,1.42,0.0,,,,,,,,,,,,
,,1.44,0.23,,,,,,,,,,,,,,,,
,,1.46,0.21,,,,,,,,,,,,,,,,
,,1.48,0.19,,,,,,,,,,,,,,,,
,,1.5,0.17,,,,,,,,,,,,,,,,
,,1.52,0.15,,,,,,,,,,,,,,,,
,,1.54,0.13,,,,,,,,,,,,,,,,
,,1.56,0.12,,,,,,,,,,,,,,,,
,,1.62,0.11,,,,,,,,,,,,,,,,
